base,strand,left,right,n,m,count,probability,logProbabilityDb
A,0,*,*,2,0,0,0.000819672,-30.8636
A,0,*,*,2,1,2135527,0.00289438,-25.3844
A,0,*,*,2,2,974804075,0.94786,-0.2326
A,0,*,*,2,3,838421,0.00163421,-27.8669
A,0,*,*,2,4,60943,0.000878879,-30.5607
A,0,*,*,2,5,8307,0.000827743,-30.8210
A,0,*,*,2,6,1439,0.00082107,-30.8562
A,0,*,*,2,7,778,0.000820428,-30.8596
A,0,*,*,2,8,251,0.000819916,-30.8623
A,0,*,*,2,9,120,0.000819789,-30.8630
A,0,*,*,2,10,49,0.00081972,-30.8633
A,0,*,*,2,11,43,0.000819714,-30.8634
A,0,*,*,2,12,21,0.000819693,-30.8635
A,0,*,*,2,13,20,0.000819692,-30.8635
A,0,*,*,2,14,11,0.000819683,-30.8635
A,0,*,*,2,15,11,0.000819683,-30.8635
A,0,*,*,2,16,13,0.000819685,-30.8635
A,0,*,*,2,17,4,0.000819676,-30.8636
A,0,*,*,2,18,8,0.00081968,-30.8636
A,0,*,*,2,19,3,0.000819675,-30.8636
A,0,*,*,2,20,5,0.000819677,-30.8636
A,0,*,*,2,21,1,0.000819673,-30.8636
A,0,*,*,2,22,4,0.000819676,-30.8636
A,0,*,*,2,23,4,0.000819676,-30.8636
A,0,*,*,2,24,0,0.000819672,-30.8636
A,0,*,*,2,25,4,0.000819676,-30.8636
A,0,*,*,2,26,0,0.000819672,-30.8636
A,0,*,*,2,27,1,0.000819673,-30.8636
A,0,*,*,2,28,2,0.000819674,-30.8636
A,0,*,*,2,29,1,0.000819673,-30.8636
A,0,*,*,2,30,1,0.000819673,-30.8636
A,0,*,*,2,31,2,0.000819674,-30.8636
A,0,*,*,2,32,2,0.000819674,-30.8636
A,0,*,*,2,33,2,0.000819674,-30.8636
A,0,*,*,2,34,2,0.000819674,-30.8636
A,0,*,*,2,35,1,0.000819673,-30.8636
A,0,*,*,2,36,0,0.000819672,-30.8636
A,0,*,*,2,37,0,0.000819672,-30.8636
A,0,*,*,2,38,1,0.000819673,-30.8636
A,0,*,*,2,39,1,0.000819673,-30.8636
A,0,*,*,2,40,1,0.000819673,-30.8636
A,0,*,*,2,41,0,0.000819672,-30.8636
A,0,*,*,2,42,0,0.000819672,-30.8636
A,0,*,*,2,43,0,0.000819672,-30.8636
A,0,*,*,2,44,3,0.000819675,-30.8636
A,0,*,*,2,45,0,0.000819672,-30.8636
A,0,*,*,2,46,0,0.000819672,-30.8636
A,0,*,*,2,47,1,0.000819673,-30.8636
